Type,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo
ST,ST1.5X3.75,ST1.5X3.75,3.75,1.1,1.5,1.5,,,,2.51,2.5,,,,0.349,0.375,0.1875,0.26,0.25,,,,0.625,0.625,,,0.432,,,0.219,4.83,,,,,4.3,0.2,0.351,0.187,0.426,0.289,0.411,0.23,0.513,,,,0.0432,0.00496,,,,,,,,0.732,0.83,,,,,,,,,,,,,,,,,,,,,,,,
ST,ST1.5X2.85,ST1.5X2.85,2.85,0.83,1.5,1.5,,,,2.33,2.375,,,,0.17,0.1875,0.125,0.26,0.25,,,,0.625,0.625,,,0.329,,,0.171,4.48,,,,,8.82,0.114,0.196,0.097,0.37,0.223,0.328,0.192,0.518,,,,0.0216,0.00189,,,,,,,,0.667,0.911,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L12X12X1-3/8,2L12X12X1-3/8,210.0,62.2,12.0,,,,,,,,12.0,,,,,,,1.38,,,,,,,3.5,,,1.3,,8.7,,,,,826.0,176.0,97.2,3.64,1590.0,218.0,133.0,5.06,,,,,,,,,,,,,6.84,0.831,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L12X12X1-3/8X3/4,2L12X12X1-3/8X3/4,210.0,62.2,12.0,,,,,,,,12.0,,,,,,,1.38,,,,,,,3.5,,,1.3,,8.7,,,,,826.0,176.0,97.2,3.64,1760.0,241.0,142.0,5.32,,,,,,,,,,,,,7.03,0.84,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L12X12X1-3/8X1-1/2,2L12X12X1-3/8X1-1/2,210.0,62.2,12.0,,,,,,,,12.0,,,,,,,1.38,,,,,,,3.5,,,1.3,,8.7,,,,,826.0,176.0,97.2,3.64,1950.0,264.0,153.0,5.6,,,,,,,,,,,,,7.25,0.85,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L12X12X1-1/4,2L12X12X1-1/4,193.0,56.8,12.0,,,,,,,,12.0,,,,,,,1.25,,,,,,,3.45,,,1.18,,9.6,,,,,762.0,161.0,89.2,3.66,1440.0,196.0,120.0,5.04,,,,,,,,,,,,,6.84,0.829,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L12X12X1-1/4X3/4,2L12X12X1-1/4X3/4,193.0,56.8,12.0,,,,,,,,12.0,,,,,,,1.25,,,,,,,3.45,,,1.18,,9.6,,,,,762.0,161.0,89.2,3.66,1590.0,217.0,128.0,5.29,,,,,,,,,,,,,7.03,0.839,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L12X12X1-1/4X1-1/2,2L12X12X1-1/4X1-1/2,193.0,56.8,12.0,,,,,,,,12.0,,,,,,,1.25,,,,,,,3.45,,,1.18,,9.6,,,,,762.0,161.0,89.2,3.66,1760.0,239.0,138.0,5.57,,,,,,,,,,,,,7.24,0.848,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L12X12X1-1/8,2L12X12X1-1/8,174.0,51.6,12.0,,,,,,,,12.0,,,,,,,1.13,,,,,,,3.41,,,1.08,,10.6,,,,,700.0,147.0,81.4,3.68,1300.0,176.0,108.0,5.02,,,,,,,,,,,,,6.85,0.827,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L12X12X1-1/8X3/4,2L12X12X1-1/8X3/4,174.0,51.6,12.0,,,,,,,,12.0,,,,,,,1.13,,,,,,,3.41,,,1.08,,10.6,,,,,700.0,147.0,81.4,3.68,1440.0,195.0,116.0,5.28,,,,,,,,,,,,,7.04,0.837,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L12X12X1-1/8X1-1/2,2L12X12X1-1/8X1-1/2,174.0,51.6,12.0,,,,,,,,12.0,,,,,,,1.13,,,,,,,3.41,,,1.08,,10.6,,,,,700.0,147.0,81.4,3.68,1590.0,215.0,125.0,5.55,,,,,,,,,,,,,7.24,0.846,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L12X12X1,2L12X12X1,156.0,46.0,12.0,,,,,,,,12.0,,,,,,,1.0,,,,,,,3.36,,,0.958,,12.0,,,,,630.0,132.0,73.0,3.7,1150.0,155.0,95.8,5.0,,,,,,,,,,,,,6.85,0.826,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L12X12X1X3/4,2L12X12X1X3/4,156.0,46.0,12.0,,,,,,,,12.0,,,,,,,1.0,,,,,,,3.36,,,0.958,,12.0,,,,,630.0,132.0,73.0,3.7,1270.0,172.0,103.0,5.25,,,,,,,,,,,,,7.03,0.834,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L12X12X1X1-1/2,2L12X12X1X1-1/2,156.0,46.0,12.0,,,,,,,,12.0,,,,,,,1.0,,,,,,,3.36,,,0.958,,12.0,,,,,630.0,132.0,73.0,3.7,1410.0,189.0,111.0,5.54,,,,,,,,,,,,,7.25,0.844,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L10X10X1-3/8,2L10X10X1-3/8,174.0,51.2,10.0,,,,,,,,10.0,,,,,,,1.38,,,,,,,3.0,,,1.28,,7.25,,,,,462.0,120.0,66.0,3.0,923.0,154.0,92.3,4.25,,,,,,,,,,,,,5.69,0.835,,,,,,,,,,,,,,,,,,,,,,,,
2L,2L10X10X1-3/8X3/4,2L10X10X1-3/8X3/4,174.0,51.2,10.0,,,,,,,,10.0,,,,,,,1.38,,,,,,,3.0,,,1.28,,7.25,,,,,462.0,120.0,66.0,3.0,1050.0,173.0,101.0,4.53,,,,,,,,,,,,,5.9,0.847,,,,,,,,,,,,,,,,,,,,,,,,
