Type,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo
HSS,HSS203.2X152.4X15.9,HSS203.2X152.4X15.9,75.3,9030,,,203.0,159.0,,,,152.0,108.0,,,,,,,,15.9,14.8,,,,,,,,,,,7.33,,10.8,,47.5,592.0,467.0,72.4,30.1,483.0,395.0,57.7,,,,62400.0,,754.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS203.2X152.4X12.7,HSS203.2X152.4X12.7,62.4,7480,,,203.0,168.0,,,,152.0,117.0,,,,,,,,12.7,11.8,,,,,,,,,,,9.9,,14.2,,40.9,500.0,403.0,73.9,26.0,408.0,341.0,58.9,,,,52900.0,,629.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS203.2X152.4X9.5,HSS203.2X152.4X9.5,48.4,5790,,,203.0,177.0,,,,152.0,126.0,,,,,,,,9.53,8.86,,,,,,,,,,,14.2,,19.9,,32.9,395.0,324.0,75.4,21.1,324.0,277.0,60.5,,,,41600.0,,492.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS203.2X152.4X7.9,HSS203.2X152.4X7.9,41.0,4900,,,203.0,181.0,,,,152.0,130.0,,,,,,,,7.94,7.39,,,,,,,,,,,17.6,,24.5,,28.4,338.0,280.0,76.2,18.2,277.0,239.0,61.0,,,,35700.0,,418.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS203.2X152.4X6.4,HSS203.2X152.4X6.4,33.3,3980,,,203.0,185.0,,,,152.0,135.0,,,,,,,,6.35,5.92,,,,,,,,,,,22.8,,31.3,,23.6,277.0,233.0,77.0,15.2,228.0,198.0,61.7,,,,29300.0,,341.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS203.2X152.4X4.8,HSS203.2X152.4X4.8,25.4,3010,,,203.0,190.0,,,,152.0,139.0,,,,,,,,4.76,4.42,,,,,,,,,,,31.5,,43.0,,18.2,213.0,179.0,77.7,11.7,175.0,154.0,62.5,,,,22400.0,,259.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS203.2X101.6X15.9,HSS203.2X101.6X15.9,62.6,7550,,,203.0,159.0,,,,102.0,57.4,,,,,,,,15.9,14.8,,,,,,,,,,,3.88,,10.8,,34.1,449.0,336.0,67.1,11.1,272.0,218.0,38.4,,,,29300.0,,470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS203.2X101.6X12.7,HSS203.2X101.6X12.7,52.2,6280,,,203.0,168.0,,,,102.0,66.0,,,,,,,,12.7,11.8,,,,,,,,,,,5.6,,14.2,,29.9,385.0,293.0,68.8,9.82,234.0,193.0,39.6,,,,25400.0,,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS203.2X101.6X9.5,HSS203.2X101.6X9.5,40.8,4890,,,203.0,177.0,,,,102.0,74.9,,,,,,,,9.53,8.86,,,,,,,,,,,8.46,,19.9,,24.4,308.0,241.0,70.6,8.16,188.0,161.0,40.9,,,,20500.0,,316.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS203.2X101.6X7.9,HSS203.2X101.6X7.9,34.7,4150,,,203.0,181.0,,,,102.0,79.5,,,,,,,,7.94,7.39,,,,,,,,,,,10.7,,24.5,,21.2,264.0,210.0,71.6,7.16,162.0,141.0,41.4,,,,17700.0,,270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS203.2X101.6X6.4,HSS203.2X101.6X6.4,28.3,3380,,,203.0,185.0,,,,102.0,83.8,,,,,,,,6.35,5.92,,,,,,,,,,,14.2,,31.3,,17.7,218.0,174.0,72.4,5.99,134.0,118.0,42.2,,,,14700.0,,223.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS203.2X101.6X4.8,HSS203.2X101.6X4.8,21.6,2570,,,203.0,190.0,,,,102.0,88.4,,,,,,,,4.76,4.42,,,,,,,,,,,20.0,,43.0,,13.8,167.0,136.0,73.2,4.7,104.0,92.6,42.9,,,,11300.0,,170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSS,HSS203.2X101.6X3.2,HSS203.2X101.6X3.2,14.7,1740,,,203.0,194.0,,,,102.0,92.7,,,,,,,,3.18,2.95,,,,,,,,,,,31.5,,66.0,,9.53,115.0,93.9,74.2,3.29,71.4,64.7,43.4,,,,7780.0,,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
